knot_name,record_index,real_length,twist_angle,multiplicity,length_cutoff,status
6_1,10,2.5533392238437727,-0.9330503390887169,2,3.0,numerical_unverified
6_1,11,2.572325731163246,1.9745261357219708,2,3.0,numerical_unverified
6_1,12,2.637302516711655,2.214985928567213,2,3.0,numerical_unverified
6_1,13,2.6724626670302474,0.9138149298571183,2,3.0,numerical_unverified
6_1,14,2.730222159515864,-2.0250400898738024,2,3.0,numerical_unverified
6_1,15,2.85815246468976,0.16568600481524387,1,3.0,numerical_unverified
6_1,16,2.863370036116229,-0.2745922354453096,2,3.0,numerical_unverified
6_1,17,2.9404356155398936,2.4924572680770773,2,3.0,numerical_unverified
6_1,18,2.986216546854247,2.2104588388267565,2,3.0,numerical_unverified
6_2,0,0.6123703878995347,3.1080872607017658,1,3.0,numerical_unverified
6_2,1,1.1028019279611836,2.464958481613771,1,3.0,numerical_unverified
6_2,2,1.6100906260613894,-1.5367311482993575,2,3.0,numerical_unverified
6_2,3,1.9105808570156628,-2.828389993193772,2,3.0,numerical_unverified
6_2,4,2.096950644944638,0.9606836823099907,2,3.0,numerical_unverified
6_2,5,2.0974987347660456,2.5648008412511105,2,3.0,numerical_unverified
6_2,6,2.1875643627932644,-2.8347797571209274,2,3.0,numerical_unverified
6_2,7,2.227261732149697,-2.237205597711982,2,3.0,numerical_unverified
6_2,8,2.3154710598179196,-0.7824379595194211,1,3.0,numerical_unverified
6_2,9,2.3364772919894583,1.6982928176308818,2,3.0,numerical_unverified
6_2,10,2.4109386118293297,2.1834724470521163,2,3.0,numerical_unverified
6_2,11,2.540331554812162,-2.091353102987036,2,3.0,numerical_unverified
6_2,12,2.5785496415408145,-1.8675125296502626,1,3.0,numerical_unverified
6_2,13,2.650642987937932,-0.3575061080241075,1,3.0,numerical_unverified
6_2,14,2.7016766090961255,-2.2918674360604583,2,3.0,numerical_unverified
6_2,15,2.769244966982108,1.3621686878458834,2,3.0,numerical_unverified
6_2,16,2.7741415800394624,-2.657958880640467,2,3.0,numerical_unverified
6_2,17,2.793337276141662,-1.8686075664807558,2,3.0,numerical_unverified
6_2,18,2.825877862079237,1.0649805588396903,2,3.0,numerical_unverified
6_2,19,2.861529714472857,-0.9858219624904466,2,3.0,numerical_unverified
6_3,0,1.2779273293779287,-2.1439468241123576,1,3.0,numerical_unverified
6_3,1,1.2779273293770275,2.143946824111119,1,3.0,numerical_unverified
6_3,2,1.9197520911497425,-2.2676285444987077,1,3.0,numerical_unverified
6_3,3,1.919752091150058,2.267628544498604,1,3.0,numerical_unverified
6_3,4,2.0400721890615667,-2.938509521519864,2,3.0,numerical_unverified
6_3,5,2.040072189059259,2.9385095215178865,2,3.0,numerical_unverified
6_3,6,2.115119642468778,-0.9876187536113374,1,3.0,numerical_unverified
6_3,7,2.1151196424707934,0.9876187536100014,1,3.0,numerical_unverified
6_3,8,2.4167220874479094,-1.447311521653905,2,3.0,numerical_unverified
6_3,9,2.41672208744723,1.4473115216530388,2,3.0,numerical_unverified
6_3,10,2.5169036437078547,-2.308281303825951,2,3.0,numerical_unverified
6_3,11,2.5169036437056174,2.3082813038212127,2,3.0,numerical_unverified
6_3,12,2.5383527207380516,-1.643962331268485,2,3.0,numerical_unverified
6_3,13,2.538352720751572,1.6439623312642826,2,3.0,numerical_unverified
6_3,14,2.672082057993414,-2.9121297734196583,2,3.0,numerical_unverified
6_3,15,2.6720820579932942,2.912129773415697,2,3.0,numerical_unverified
6_3,16,2.7151648512044018,-2.8882695163462393,2,3.0,numerical_unverified
6_3,17,2.7151648512060507,2.888269516343934,2,3.0,numerical_unverified
6_3,18,2.7661372016920986,-1.0307815208540592,2,3.0,numerical_unverified
6_3,19,2.7661372016956185,1.0307815208512876,2,3.0,numerical_unverified
6_3,20,2.916789550429117,-2.9051781356106536,4,3.0,numerical_unverified
6_3,21,2.9167895504369086,2.9051781356080926,4,3.0,numerical_unverified
6_3,22,2.9256950239091264,-1.2555516670407492,2,3.0,numerical_unverified
6_3,23,2.9256950239140225,1.2555516670384246,2,3.0,numerical_unverified
6_3,24,2.9372830415049154,-2.8747608220062553,2,3.0,numerical_unverified
6_3,25,2.9372830415024382,2.8747608219988465,2,3.0,numerical_unverified
7_2,0,0.21710146498841373,-2.261441816576726,1,3.0,numerical_unverified
7_2,1,1.1481849500524342,-2.156758274776433,2,3.0,numerical_unverified
7_2,2,1.7455836422968287,-3.0204985084559506,2,3.0,numerical_unverified
7_2,3,1.9166004579319955,-1.7283631035643503,1,3.0,numerical_unverified
7_2,4,1.9640356137251247,1.6567975352130988,1,3.0,numerical_unverified
7_2,5,2.008211028488724,-3.0890875450114206,2,3.0,numerical_unverified
7_2,6,2.035400169766619,0.6250269850281645,2,3.0,numerical_unverified
7_2,7,2.344998878287368,-1.8844587186914343,1,3.0,numerical_unverified
7_2,8,2.3588042961976847,2.7081832541357644,2,3.0,numerical_unverified
7_2,9,2.4788361725839305,-0.24944362126101266,2,3.0,numerical_unverified
7_2,10,2.6230587726264636,-0.601806396137738,2,3.0,numerical_unverified
7_2,11,2.677811789517434,-1.0620782588532929,2,3.0,numerical_unverified
7_2,12,2.781827896585547,-2.227265290956949,2,3.0,numerical_unverified
7_2,13,2.814196679279844,0.8847062439796706,2,3.0,numerical_unverified
7_2,14,2.8261600620952803,0.5342630505576996,2,3.0,numerical_unverified
7_2,15,2.828346953727441,2.126975874146018,2,3.0,numerical_unverified
7_2,16,2.8571738565680858,1.9708384951274525,2,3.0,numerical_unverified
7_2,17,2.864285624566067,2.53215303101824,2,3.0,numerical_unverified
7_2,18,2.9213601139819994,2.3737034893346864,2,3.0,numerical_unverified
7_2,19,2.9739973627515646,-1.1676945835506274,2,3.0,numerical_unverified
7_3,0,0.49585384687395245,2.862841477856286,1,3.0,numerical_unverified
7_3,1,1.0282657275860991,2.663091556228607,1,3.0,numerical_unverified
7_3,2,1.7574404837041524,-1.7996611544368146,2,3.0,numerical_unverified
7_3,3,1.8444160337250495,0.975479822083438,2,3.0,numerical_unverified
7_3,4,1.8980779851184968,-2.5089169911129776,2,3.0,numerical_unverified
7_3,5,2.0643867986408893,-2.6932288485765388,2,3.0,numerical_unverified
7_3,6,2.177854187552774,2.642044292443958,2,3.0,numerical_unverified
7_3,7,2.3220840045581768,-1.7673832779527598,2,3.0,numerical_unverified
7_3,8,2.4183741050181093,-2.3857837806823694,2,3.0,numerical_unverified
7_3,9,2.4374881503481305,-0.6896184086309478,1,3.0,numerical_unverified
7_3,10,2.4742697318063045,2.626517780969964,2,3.0,numerical_unverified
7_3,11,2.591623654743131,1.866093791451542,2,3.0,numerical_unverified
7_3,12,2.618178273278158,1.4439311468800542,2,3.0,numerical_unverified
7_3,13,2.726872843283006,2.8583525026024943,2,3.0,numerical_unverified
7_3,14,2.7316585272674945,0.7936050751053657,2,3.0,numerical_unverified
7_3,15,2.7840718792516834,-1.9562328173086292,2,3.0,numerical_unverified
7_3,16,2.8109976138170603,0.25962771485120884,1,3.0,numerical_unverified
7_3,17,2.8525471321668734,-1.1077777784197194,2,3.0,numerical_unverified
7_3,18,2.914901929810619,-2.5337619039209325,2,3.0,numerical_unverified
7_3,19,2.9320250505458367,-1.6782477642874265,1,3.0,numerical_unverified
7_3,20,2.9747657966534633,-2.7356449562029477,2,3.0,numerical_unverified
7_3,21,2.987591614977645,-0.07498947196068388,2,3.0,numerical_unverified
7_4,0,0.6545044131847584,3.0440377289969227,2,3.0,numerical_unverified
7_4,1,1.8123621148731983,1.396057328243507,4,3.0,numerical_unverified
7_4,2,2.1920241652091694,1.1699647632519024,2,3.0,numerical_unverified
7_4,3,2.1955013048583893,-1.292857257521343,4,3.0,numerical_unverified
7_4,4,2.5063398004428628,2.3002018201858125,4,3.0,numerical_unverified
7_4,5,2.5338528001621317,2.056174186782836,4,3.0,numerical_unverified
7_4,6,2.6227239547235794,-1.3369446475104507,2,3.0,numerical_unverified
7_4,7,2.6339157938496314,-1.041604788457765e-14,4,3.0,numerical_unverified
7_4,8,2.730633897239805,0.3655035011303882,2,3.0,numerical_unverified
7_4,9,2.7931616050319255,-2.5008557182030886,2,3.0,numerical_unverified
7_4,10,2.8933590165320067,-1.7434699266548135,4,3.0,numerical_unverified
7_4,11,2.9164422228853857,-2.332745415325976,2,3.0,numerical_unverified
7_5,0,0.8360672248427061,-2.845883612781024,1,3.0,numerical_unverified
7_5,1,1.4643779405836816,-2.017052921577862,1,3.0,numerical_unverified
7_5,2,1.5871655925841144,2.7075001742111637,1,3.0,numerical_unverified
7_5,3,1.7261964468842266,2.125421223769151,2,3.0,numerical_unverified
7_5,4,2.0626354093493036,1.170715582747277,1,3.0,numerical_unverified
7_5,5,2.2580272831592403,-2.7108480483641753,2,3.0,numerical_unverified
7_5,6,2.3105664575235823,3.086996395685037,2,3.0,numerical_unverified
7_5,7,2.4267065128891354,-1.6595069792886974,2,3.0,numerical_unverified
7_5,8,2.4778728855576726,-2.3513566191496618,2,3.0,numerical_unverified
7_5,9,2.5222240861976744,0.5306912967429227,1,3.0,numerical_unverified
7_5,10,2.539009865407849,2.2001932064109955,2,3.0,numerical_unverified
7_5,11,2.6041710033253906,-0.36043766349714423,2,3.0,numerical_unverified
7_5,12,2.6120299201462513,-1.0522940530699663,2,3.0,numerical_unverified
